name,type,abv
Clyne May's Rye Whiskey,Whiskey,
Clynelish 14 Year Highland Single Malt Scotch Whisky,Scotch,
Clynelish Game of Thrones House Tyrell,Scotch,
Coca Leaf Herbal Liqueur,Liqueur,
Cockspur Old Gold Reserve Rum,Rum,
Cockspur Over Proof Rum,Rum,
Coco Original Vodka,Gin,
Coconut Flavored Rum,Rum,
Coconut Flavored Tequila,Tequila,
Coconut Rum,Rum,
Codigo 1530 Anejo Tequila,Tequila,
Codigo 1530 Reposado Tequila,Tequila,
Codigo 1530 Rosa Blanco Tequila,Tequila,
Codigo 1530 Tequila Blanco,Tequila,
Coffee Flavored Brandy,Brandy,
Coffee Flavored Tequila,Tequila,
Coffee Gin,Gin,
Cognac - Orange Liqueur Blend,Cognac,
Cointreau Liqueur,Liqueur,
Cold River Blueberry Vodka,Vodka,
Cold River Regular Vodka,Vodka,
"Colonel E.H. Taylor, Jr. Barrel Proof Bourbon",Bourbon,
Combier Pamplemousse,Liqueur,
Compass Box Flaming Heart 6th Edition 2018,Scotch,
Compass Box Flaming Heart Limited Edition,Scotch,
Compass Box Great King Street Artist's Blend,Scotch,
Compass Box Hedonism Limited Release,Scotch,
Compass Box Juveniles Le Whisky,Scotch,
Compass Box Le No Name Whisky,Scotch,
Compass Box Magic Cask Blended Malt Scotch Whisky,Scotch,
Compass Box No Name No. 2 Blended Malt Scotch Whisky,Scotch,
Compass Box Peat Monster Arcana Scotch Whisky,Scotch,
Compass Box Rogues Banquet Blended Scotch Whisky,Scotch,
Compass Box The Lost Blend Limited Edition,Scotch,
Compass Box The Peat Monster,Scotch,
Compass Box The Spice Tree,Scotch,
Compass Box The Story of the Spaniard,Scotch,
Compass Box This Is Not a Luxury Whisky,Scotch,
Conncullin Irish Gin,Gin,
Connemara Peated,Whiskey,
Conniption Navy Strength Gin,Gin,
Cooper's Mark Bourbon Whiskey,Whiskey,
Cooper's Mark Peach Flavored Bourbon Whiskey,Whiskey,
Copper Dog Speyside Blended Malt Scotch Whisky,Scotch,
Copper Fox Rye Whiskey by Wasmunds,Whiskey,
Copper Fox Wasmunds Rye Spirit,Rye,
Corazon Anejo Tequila,Tequila,
Corazon Expresiones Blanco Tequila,Tequila,
Corazon Expressions Sazerac Rye Anejo Tequila,Tequila,
